iter	Logloss
0	0.5300220362
1	0.4377117006
2	0.3675336062
3	0.314604571
4	0.2699405368
5	0.2266549013
6	0.1836440802
7	0.1500807418
8	0.126539783
9	0.1087274395
10	0.09808815367
11	0.08615966668
12	0.07711634675
13	0.07007024719
14	0.06477180056
15	0.06091651207
16	0.05782116243
17	0.05573421244
18	0.05291880592
19	0.05179037188
20	0.05079622726
21	0.0499192334
22	0.04914340085
23	0.04845537552
24	0.04784530764
25	0.0473026097
26	0.04677474492
27	0.04634405119
28	0.04595861243
29	0.04562633825
30	0.04531193338
31	0.04502855685
32	0.04477284974
33	0.04454168012
34	0.04433240201
35	0.04414198989
36	0.04396876254
37	0.04385616955
38	0.04370859696
39	0.0436104718
40	0.0435191035
41	0.04339290812
42	0.04327542749
43	0.04319761191
44	0.04312409873
45	0.04305465031
46	0.04298789398
47	0.04292318068
48	0.04286155318
49	0.04280061733
50	0.04274232038
51	0.04268500238
52	0.04263008917
53	0.04257701681
54	0.04234015087
55	0.04228836249
56	0.04223645351
57	0.04218501273
58	0.04213672515
59	0.04208885965
60	0.04204118568
61	0.0419937529
62	0.0419474977
63	0.0419028386
64	0.04185757299
65	0.04181392121
66	0.04176943946
67	0.04172695107
68	0.04168362561
69	0.0416305497
70	0.04158872458
71	0.04154618299
72	0.04150343922
73	0.04146131971
74	0.04142052674
75	0.04137840368
76	0.04133747238
77	0.04129647015
78	0.04125598576
79	0.04121478844
80	0.04117444593
81	0.04113349335
82	0.04109356937
83	0.04105245009
84	0.04101233103
85	0.04097210912
86	0.04093174178
87	0.04042106176
88	0.04038161306
89	0.04034100808
90	0.04030032507
91	0.04026014217
92	0.04021988123
93	0.0401790989
94	0.04013859678
95	0.04009698093
96	0.0400568938
97	0.04001801616
98	0.03997828371
99	0.03993793056
100	0.03989847477
101	0.03985983832
102	0.03982232624
103	0.03978278888
104	0.03974353527
105	0.03970435259
106	0.03966392141
107	0.03962595887
108	0.03958737562
109	0.03954740554
110	0.03950839312
111	0.03946874934
112	0.03942892823
113	0.03938944407
114	0.03934987478
115	0.03931198318
116	0.03927206984
117	0.03923440525
118	0.03919474729
119	0.0391567812
120	0.03911870516
121	0.03908155841
122	0.03904423787
123	0.03900477499
124	0.0389668089
125	0.03892879316
126	0.03889173508
127	0.03885264108
128	0.0388152496
129	0.03877745376
130	0.03873890244
131	0.03869992194
132	0.038660984
133	0.038622117
134	0.03858541716
135	0.03854818174
136	0.03851115559
137	0.03847281353
138	0.03810272933
139	0.03806596565
140	0.03802753137
141	0.03798961849
142	0.0379524611
143	0.03791577545
144	0.0378775327
145	0.0378385593
146	0.03780174241
147	0.03776566328
148	0.03772775395
149	0.03768992974
150	0.03765303127
151	0.03761574974
152	0.03758044738
153	0.03754390361
154	0.03750780674
155	0.03746817716
156	0.03742955844
157	0.0373941816
158	0.03735788256
159	0.03731986327
160	0.03728258529
161	0.03724504838
162	0.03720953675
163	0.0371744614
164	0.03713683227
165	0.03710058288
166	0.03706328362
167	0.03702740666
168	0.03699108279
169	0.03695538318
170	0.03691955234
171	0.03688470043
172	0.03684796867
173	0.03681114469
174	0.03677486339
175	0.03673841538
176	0.03670262709
177	0.03666744533
178	0.03663079515
179	0.03659415561
180	0.03655539501
181	0.03651961737
182	0.03648371913
183	0.03645003062
184	0.03641452609
185	0.03637863139
186	0.03634461656
187	0.03631042084
188	0.0362737742
189	0.03623761349
190	0.03620226148
191	0.03616776782
192	0.03613269955
193	0.03609820589
194	0.03606343911
195	0.03602838504
196	0.03599107513
197	0.03595706385
198	0.0359223219
199	0.03588822904
